jpg_link;AUTHOR;TITLE;TECHNIQUE;LOCATION;TYPE;SCHOOL;TIMEFRAME;CSS2_1;CSS2_2;CSS2_3;CSS2_4;CSS2_5;CSS2_6;CSS2_7;CSS2_8;CSS2_9;CSS3_1;CSS3_2;CSS3_3;CSS3_4;CSS3_5;CSS3_6;CSS3_7;CSS3_8;CSS3_9;ESA_1;ESA_2;ESA_3;ESA_4;ESA_5;ESA_6;ESA_7;ESA_8;ESA_9
http://www.wga.hu/art/m/massys/quentin/3/magdalen.jpg;MASSYS, Quentin;St Mary Magdalen;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1451-1500;brown;black;gray;gray;brown;brown;brown;gray;green;sienna;black;darkslategray;grey;tan;rosybrown;sienna;dimgrey;darkolivegreen;#985b46;#291b19;#4c2e29;#828082;#dac0a4;#bf8b6a;#7b4739;#836355;#63433a
http://www.wga.hu/art/h/hals/frans/08-1658/68geraer.jpg;HALS, Frans;Stephanus Geraerdts;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;portrait;Dutch;1601-1650;gray;gray;brown;black;gray;gray;gray;gray;brown;grey;dimgrey;rosybrown;black;dimgrey;darkslategray;darkslategray;darkslategray;burlywood;#94705e;#6b5248;#bb8d70;#1e1c19;#835f50;#362e2c;#463a37;#544542;#e5c49e
http://www.wga.hu/art/b/beyeren/stillife.jpg;BEYEREN, Abraham van;Still-Life;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;still-life;Dutch;1651-1700;green;green;brown;black;green;brown;gray;brown;gray;darkolivegreen;darkolivegreen;peru;black;darkolivegreen;sienna;darkslategray;tan;grey;#634535;#59382a;#bc7851;#231612;#6e5745;#8a533a;#3f2a22;#d9bc93;#987e61
http://www.wga.hu/art/g/grimmer/abel/2summer.jpg;GRIMMER, Abel;Summer;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;landscape;Flemish;1601-1650;black;brown;green;brown;brown;green;gray;yellow;gray;black;saddlebrown;darkolivegreen;peru;sienna;darkolivegreen;silver;darkkhaki;dimgrey;#201610;#73422f;#4d3225;#b16d47;#9b5438;#655949;#d0ccbc;#c49d72;#8a765b
http://www.wga.hu/art/e/evenepoe/sunday.jpg;EVENEPOEL, Henri;Sunday in the Bois de Boulogne;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;landscape;Belgian;1851-1900;gray;black;gray;green;gray;gray;gray;brown;black;darkslategray;black;dimgrey;darkolivegreen;darkgray;darkslategray;darkslategray;sienna;black;#403c2b;#0b0b0e;#6f7257;#60482e;#a2a6a0;#39593f;#3a2b20;#b14e3c;#1f1b1a
http://www.wga.hu/art/h/horemans/jan_ii/teatime.jpg;HOREMANS, Jan Jozef II;Tea Time;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;genre;Flemish;1751-1800;gray;brown;gray;brown;gray;gray;green;yellow;gray;dimgrey;sienna;darkslategray;tan;dimgrey;grey;darkolivegreen;darkkhaki;dimgrey;#81674a;#a1724c;#2e2622;#dac39d;#797162;#a38b68;#59483b;#c7a474;#6e5b48
http://www.wga.hu/art/r/rubens/13religi/55religi.jpg;RUBENS, Peter Paul;The Adoration of the Magi;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1601-1650;brown;gray;gray;black;brown;gray;red;brown;brown;saddlebrown;silver;grey;black;sienna;darkslategray;indianred;rosybrown;sienna;#6e4534;#d9c6ab;#707c73;#241613;#b6533d;#4b2e24;#a17354;#af9d83;#904f39
http://www.wga.hu/art/s/simone/7last/orsini/1orsini.jpg;SIMONE MARTINI;The Angel of the Annunciation;Tempera on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Italian;1301-1350;brown;brown;yellow;brown;yellow;green;brown;brown;brown;burlywood;burlywood;darkkhaki;sienna;khaki;darkolivegreen;peru;burlywood;burlywood;#f0c98b;#dbad73;#c89966;#94664b;#f6d59a;#563d35;#b1845a;#e1be87;#edbe7c
http://www.wga.hu/art/r/rombouts/card_pla.jpg;ROMBOUTS, Theodor;The Card Players;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;genre;Flemish;1601-1650;black;brown;red;brown;brown;green;green;gray;brown;black;burlywood;indianred;tan;wheat;darkolivegreen;darkolivegreen;darkslategray;rosybrown;#201210;#e1bd9f;#a0715a;#d1ab8e;#eacfba;#734e41;#593a32;#412823;#c49373
http://www.wga.hu/art/b/brouwer/cardplay.jpg;BROUWER, Adriaen;The Card Players;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;genre;Flemish;1601-1650;brown;brown;green;gray;gray;brown;black;brown;red;sienna;tan;darkolivegreen;dimgrey;darkslategray;saddlebrown;black;sienna;indianred;#985a3f;#cab195;#5a352b;#80614e;#412721;#6b4134;#231512;#814b37;#ad704d
